"Species","code","family","group","nat.inv","morph.mass.mg","chem.mass.mg","set.time.mpsec","height.cm","shape.m","size.mm.m","area.mm2.m","shape.c","size.mm.c","area.mm2.c","appendage type","smooth.coarse","appendage","prop.C","prop.N","cn","ldd","disp","ldd2","wing.loading.c","wing.loading.m","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","mucilage","fleshy.end","starchy.end"
"Bromus tectorum","BROTEC","Poaceae","grass","invasive",32.49,27.31,174.018344097262,29.89334547,0.180333313150945,23.25407,52.0551244,0.166533008127428,9.33929595,29.603216,"elongated appendage",1,"awn",0.416317073170732,0.0198834688346883,20.9378492571896,4,"adhesive","adhesive",0.922534902964597,0.624146044687966,114.802397724722,0.215272697406205,NA,NA,0.0152,0,0,1
"Calandrinia menziesii","CALMEN","Montiaceae","forb","native",3.3303,3.3303,155.10437073852,8.44845238,0.031736611129252,1.56430445,4.74253118,0.031736611129252,1.56430445,4.74253118,"no appendage",0,"none",0.478072449318711,0.0325623130608176,14.6817717901613,3,"ant","ant",0.702219948293519,0.702219948293519,66.1751546153681,2.50865580675762,0.0136,NA,NA,0,0,1
"Calycadenia multiglandulosa","CALMUL","Asteraceae","forb","native",9.4704,9.4704,233.238185453746,12.975,0.106715544206217,3.85315185,10.65312,0.0925100966722639,2.9602134,8.8660792,"elongated appendage",0,"pappus",0.507694085706113,0.0455950887817901,11.6680887863084,4,"adhesive","adhesive",1.06816099725344,0.888979003334235,60.6450701010434,1,NA,0.06371,NA,0.5,NA,NA
"Calycadenia pauciflora","CALPAU","Asteraceae","forb","native",9.496,9.496,126.4216049477,30,0.0682739216318425,3.1020199,11.9240796,0.0682739216318425,3.1020199,11.9240796,"no appendage",0,"none",0.452674212946587,0.0278705341351256,16.2420357913441,2,"unassisted","unassisted",0.796371738410736,0.796371738410736,64.4523153882803,1,0.0772,0.0852,0.1624,0,NA,NA
"Calyptridium monandrum","CALMON","Montiaceae","forb","native",0.9723,0.9723,125.758556567926,9.75,0.00133194563114674,0.68687585,1.28902592,0.00133194563114674,0.68687585,1.28902592,"no appendage",0,"none",0.442879161528977,0.0249599260172626,17.7436087439793,1,"unassisted","unassisted",0.754290495570485,0.754290495570485,1.9527731273135,2.65876258894462,0.0142,NA,NA,0,1,1
"Camissonia campestris","CAMCAM","Onagraceae","forb","native",0.5845,0.5845,134.781132394688,15,0.056121004535479,0.87299701,1.06515492,0.056121004535479,0.87299701,1.06515492,"no appendage",0,"none",0.510852917876947,0.0370266701874835,13.796890600485,1,"unassisted","unassisted",0.548746467790807,0.548746467790807,2.25875256143366,1,0.016,NA,NA,0,NA,NA
"Camissoniopsis ignota","CAMIGN","Onagraceae","forb","native",0.9753,0.9753,137.55314538419,55,0.054648542815766,1.0812756,1.6943504,0.054648542815766,1.0812756,1.6943504,"no appendage",0,"none",0.505997171145686,0.0338613861386139,14.9431913116124,1,"unassisted","unassisted",0.575618833034772,0.575618833034772,10.9685691504487,1,0.0196,NA,NA,0,NA,NA
"Camissoniopsis pallida","CAMPAL","Onagraceae","forb","native",1.046,1.046,145.527706556967,60,0.0568601433836396,1.1388845,1.8349572,0.0568601433836396,1.1388845,1.8349572,"no appendage",0,"none",0.469172710179962,0.0276121407467096,16.9915369649805,1,"unassisted","unassisted",0.570040543724944,0.570040543724944,30.7036315342996,1,0.0126,NA,NA,0,NA,NA
"Capsella bursa-pastoris","CAPBUR","Brassicaceae","forb","invasive",1.0206,1.0206,162.962886514458,18.41363636,0.0421694519269239,1.03696101,1.84359776,0.0421694519269239,1.03696101,1.84359776,"no appendage",0,"none",0.536223597131901,0.0403926659117148,13.3029103175052,4,"adhesive","adhesive",0.553591473228954,0.553591473228954,73.515242771404,0.974855059330128,0.007,NA,NA,1,1,0
"Carduus pycnocephalus","CARPYC","Asteraceae","forb","invasive",68.99,68.99,271.861817247576,43.0083333333333,0.10160949520693,5.3709261,27.9304672,0.10160949520693,5.3709261,27.9304672,"nutrient-containing appendage",0,"elaiosome",0.606386870458532,0.0279027812578301,21.7321300287356,2,"ant","ant",2.4700625129536,2.4700625129536,56.4752795903404,1,NA,0.0922,NA,1,0,0
"Castilleja attenuata","CASATT","Orobanchaceae","forb","native",1.036,1.036,141.240071017871,17.1,0.0274328360741319,1.14774736,2.47829184,0.0274328360741319,1.14774736,2.47829184,"no appendage",1,"none",0.58631037212985,0.0429493269992082,13.6512120932805,2,"wind","wind",0.418029863666097,0.418029863666097,25.982927057989,0.924321322041963,0.0154,NA,NA,0,1,0
"Castilleja exserta","CASEXS","Orobanchaceae","forb","native",1.194,1.194,110.410870494162,14.6769230766667,0.0148103863162113,1.4934011,4.6415928,0.0148103863162113,1.4934011,4.6415928,"balloon structure",1,"balloon",0.497884127294026,0.0270257115276151,18.424745393563,2,"wind","wind",0.257239282170551,0.257239282170551,46.6501361090527,0.962876560502048,0.0278,NA,NA,0,1,0
"Caulanthus anceps","CAUANC","Brassicaceae","forb","native",1.519,1.519,184.406373593897,92.5,0.034245534901096,1.07241262,2.05254408,0.034245534901096,1.07241262,2.05254408,"no appendage",0,"none",0.532682634730539,0.0514071856287425,10.3620267909144,1,"unassisted","unassisted",0.740057187955739,0.740057187955739,79.7727463736957,1,0.0282,NA,NA,1,NA,NA
"Caulanthus heterophyllus","CAUHET","Brassicaceae","forb","native",3.4649,3.4649,194.82387220445,72.5,0.0482933261932375,1.68395375,4.8972777,0.0482933261932375,1.68395375,4.8972777,"no appendage",0,"none",0.581047087980173,0.033045229244114,17.5833880191244,1,"unassisted","unassisted",0.707515524390214,0.707515524390214,98.1850390628952,1,0.0136,NA,NA,1,NA,NA
