Species,code,ldd2,wing.loading,coat.perm,E.S,coat.thick,mass.mg,set.time.mpsec,height.cm,shape,size,appendage type,smooth.coarse,appendage,prop.C,prop.N,cn,ldd,disp
Bromus hordeaceus,BROHOR,adhesive,0.9091631449,188.9839102,0.1509154753,0.0206,22.14,192.8669341,35.84708333,0.140707104,6.4787903,elongated appendage,1,awn,0.403233106,0.01877557347,21.4764735,4,adhesive
Bromus madritensis,BROMAD,adhesive,0.7722506456,165.5378868,0.2109745849,0.0238,26.31,157.4549096,22.56371428,0.173561093,10.8592851,elongated appendage,1,awn,0.421442769,0.02787624297,15.13235503,4,adhesive
Bromus rubens,BRORUB,adhesive,0.7207031452,151.3252001,0.1886540397,0.0124,25.57,233.2743141,31.7965,0.170320866,10.53357325,elongated appendage,1,awn,0.4148246445,0.02392101106,17.34143442,4,adhesive
Bromus tectorum,BROTEC,adhesive,1.097515892,114.8023977,0.214834681,0.0152,32.49,174.0183441,29.89334547,0.166533008,9.33929595,elongated appendage,1,awn,0.4163170732,0.01988346883,20.93784926,4,adhesive
Calandrinia menziesii,CALMEN,ant,0.7022199483,66.17515462,1,0.0136,3.3303,155.1043707,8.44845238,0.031736611,1.56430445,no appendage,0,none,0.4780724493,0.03256231306,14.68177179,3,ant
Calycadenia multiglandulosa,CALMUL,adhesive,1.068160997,60.6450701,1,0.06371,9.4704,233.2381855,12.975,0.092510097,2.9602134,elongated appendage,0,pappus,0.5076940857,0.04559508878,11.66808879,4,adhesive
Calycadenia pauciflora,CALPAU,unassisted,0.7963717384,64.45231539,1,0.0772,9.496,126.4216049,30,0.068273922,3.1020199,no appendage,0,none,0.4526742129,0.02787053414,16.24203579,2,unassisted
Calyptridium monandrum,CALMON,unassisted,0.7542904956,1.952773127,1,0.0142,0.9723,125.7585566,9.75,0.001331946,0.68687585,no appendage,0,none,0.4428791615,0.02495992602,17.74360874,1,unassisted
Camissonia campestris,CAMCAM,unassisted,0.5487464678,2.258752561,1,0.016,0.5845,134.7811324,15,0.056121005,0.87299701,no appendage,0,none,0.5108529179,0.03702667019,13.7968906,1,unassisted
Camissoniopsis ignota,CAMIGN,unassisted,0.575618833,10.96856915,1,0.0196,0.9753,137.5531454,55,0.054648543,1.0812756,no appendage,0,none,0.5059971711,0.03386138614,14.94319131,1,unassisted
Camissoniopsis pallida,CAMPAL,unassisted,0.5700405437,30.70363153,1,0.0126,1.046,145.5277066,60,0.056860143,1.1388845,no appendage,0,none,0.4691727102,0.02761214075,16.99153696,1,unassisted
Capsella bursa-pastoris,CAPBUR,adhesive,0.5535914732,73.51524277,0.9748241769,0.007,1.0206,162.9628865,18.41363636,0.042169452,1.03696101,no appendage,0,none,0.5362235971,0.04039266591,13.30291032,4,adhesive
Carduus pycnocephalus,CARPYC,ant,2.470062513,56.47527959,1,0.0922,68.99,271.8618172,43.00833333,0.101609495,5.3709261,nutrient-containing appendage,0,elaiosome,0.6063868705,0.02790278126,21.73213003,2,ant
Castilleja attenuata,CASATT,wind,0.4180298637,25.98292706,0.9242076252,0.0154,1.036,141.240071,17.1,0.027432836,1.14774736,no appendage,1,none,0.5863103721,0.042949327,13.65121209,2,wind
Castilleja exserta,CASEXS,wind,0.2572392822,46.65013611,0.9650773735,0.0278,1.194,110.4108705,14.67692308,0.014810386,1.4934011,balloon structure,1,balloon,0.4978841273,0.02702571153,18.42474539,2,wind
Caulanthus anceps,CAUANC,unassisted,0.740057188,79.77274637,1,0.0282,1.519,184.4063736,92.5,0.034245535,1.07241262,no appendage,0,none,0.5326826347,0.05140718563,10.36202679,1,unassisted
Caulanthus heterophyllus,CAUHET,unassisted,0.7075155244,98.18503906,1,0.0136,3.4649,194.8238722,72.5,0.048293326,1.68395375,no appendage,0,none,0.581047088,0.03304522924,17.58338802,1,unassisted
Caulanthus lasiophyllus,CAULAS,unassisted,0.7308639239,74.96279179,1,0.0328,1.74355,161.4574004,60,0.0449028865,1.16990471,no appendage,0,none,0.536073917,0.04785216601,11.20270955,1,unassisted
Centaurea melitensis,CENMEL,adhesive,1.396484217,37.45006959,1,0.0348,14.81,195.8421299,57.76190477,0.07425439,2.8671528,elongated appendage,0,pappus,0.5385145889,0.0310132626,17.36400958,4,adhesive
Centaurea solstitialis,CENSOL,adhesive,1.452937513,40.35104091,1,0.0396,16.34,220.843177,73.375,0.082914448,3.06435255,elongated appendage,0,pappus,0.4796793702,0.01732677631,29.0333243,4,adhesive
