Species,code,ldd2,wing.loading,coat.perm,E.S,coat.thick,mass.mg,set.time.mpsec,height.cm,shape,size,appendage type,smooth.coarse,appendage,prop.C,prop.N,cn,ldd,disp
Salvia carduacea,SALCAR,ingestion,2.006311744,1107.15105,1,0.0652,28.4,249.0639575,55,0.042483317,2.80732805,no appendage,0,none,0.5143427665,0.03587675218,14.33638039,3,small mammal (internal or caching)
Salvia columbariae,SALCOL,adhesive,1.163420873,1290.52828,1,0.0338,4.9112,231.8965452,30,0.028040895,1.4845382,no appendage,0,none,0.5395340402,0.03329799107,16.20320094,4,adhesive
Schismus barbatus,SCHBAR,unassisted,0.6336756488,35.39911936,0.4829280275,0.0038,0.6889,145.5095848,7.2025678,0.030064151,0.77107352,no appendage,0,none,0.4128936039,0.03136223862,13.16531032,1,unassisted
Senecio vulgaris,SENVUL,adhesive,0.5550359632,918.9753582,1,0.0658,2.6665,148.0811331,27.71091345,0.136812813,2.9424875,elongated appendage,1,plume,0.5055910944,0.03200062716,15.79941205,4,adhesive
Sesbania herbacea,SESHER,unassisted,3.872361011,74.48102345,0.955441713,0.0476,74.72,286.9213404,298.7,0.075387494,3.6958352,no appendage,0,none,0.3998055015,0.0534287302,7.482968433,1,unassisted
Sidalcea diploscypha,SIDDIP,unassisted,2.717000785,418.7758679,0.8748959358,0.132,49.7,252.797745,18.8,0.011907247,2.8472112,no appendage,1,none,0.4364441748,0.02743021845,15.91107178,1,unassisted
Silene gallica,SILGAL,adhesive,1.157111568,26.27661447,1,0.0234,2.6986,195.8948624,32.344375,0.015012493,0.999293615,no appendage,1,none,0.4676062176,0.02859412781,16.35322542,4,adhesive
Sisymbrium altissimum,SISALT,wind,1.284396782,44.61681329,1,0.0068,2.4799,189.0955567,63.96723905,0.02891701,0.9704891,no appendage,0,none,0.5656661264,0.04674554295,12.10096387,3,tumbling
Sisymbrium irio,SISIRI,adhesive,0.8083768017,79.05013865,1,0.0072,0.9582,161.5271728,35.64980393,0.050031236,0.86856558,no appendage,0,none,0.546553216,0.05295356216,10.32136827,4,adhesive
Sisymbrium orientale,SISORI,unassisted,1.577623907,81.22968878,1,0.0088,2.5547,193.1945684,54.8026316,0.035916107,0.952763275,no appendage,0,none,0.5645740033,0.03942927362,14.31865088,2,unassisted
Spergularia platensis,SPEPLA,unknown,0.7119591367,139.1236941,NA,NA,0.479,121.926975,12,0.052053052,0.59824672,no appendage,0,none,0.438269649,0.03397639018,12.89924111,0,unknown
Stephanomeria exigua,STEEXI,wind,0.6249043922,125.5176034,NA,NA,5.2771,187.1905059,105,0.12058785,3.2460423,elongated appendage,1,none,0.4791656442,0.02788957055,17.1808183,2,wind
Stipa capensis,STICAP,adhesive,3.033168841,56.75970079,0.4850291723,0.01,34.6,145.8172272,15.9449573,0.167421456,5.6057932,elongated appendage,1,awn,0.4366130398,0.01646909399,26.51105398,4,adhesive
Streptanthella longirostris,STRLON,unknown,0.5067647442,62.96511379,1,0.0496,1.4438,130.2888415,40,0.065855149,1.4978325,no appendage,1,none,0.4877962014,0.0322821827,15.11038476,0,unknown
Streptanthus insignis,STRINS,wind,0.8982079314,164.3159552,1,0.0094,4.8087,188.2357265,36,0.074035004,1.885585,flat appendage,0,wing,0.511237738,0.03512406232,14.55519961,2,wind
Streptanthus polygaloides,STRPOL,unassisted,0.9170120209,63.09573392,NA,NA,2.1318,160.7347348,50,0.08607488,1.3072798,no appendage,0,none,0.5650498874,0.0408046347,13.84768891,1,unassisted
Stylocline micropoides,STYMIC,wind,0.6903821052,34.33436763,NA,NA,1.064,136.5761436,8,0.069453891,1.1255899,elongated appendage,0,pappus,0.5469471509,0.05136108651,10.64905725,2,wind
Thysanocarpus curvipes,THYCUR,wind,0.3067831693,106.8403563,NA,NA,15.31428571,106.7402654,36.6,0.109505502,5.65453925,flat appendage,0,wing,0.4456150062,0.01226629766,36.32840311,2,wind
Tidestromia suffruticosa var. oblongifolia,TIDSUFO,unknown,1.58626576,50.89328722,NA,NA,4.7804,224.6661769,35,0.019606816,1.17433605,no appendage,0,none,0.4706265356,0.0365970516,12.85968446,0,unknown
Trichoptilium incisum,TRIINC,wind,1.146731028,131.9699202,NA,NA,6.2464,163.2845826,15,0.090666536,2.57024505,elongated appendage,1,pappus,0.4929384835,0.03391130186,14.53611205,2,wind
Trichostema austromontanum ssp. austromontanum,TRIAUSA,unassisted,0.9052245714,106.6618629,0.7950715196,0.0682,3.0974,175.0514407,50,0.027323323,1.3648887,no appendage,1,none,0.5047191758,0.02958790296,17.05829496,1,unassisted
Trichostema lanceolatum,TRILAN,unassisted,1.565661968,40.78543933,0.6944159836,0.1226,17.85,186.2639175,100,0.015203699,2.4904789,no appendage,1,none,0.5045403991,0.02636898921,19.13385436,1,unassisted
Trifolium albopurpureum,TRIALB,unassisted,2.509028172,64.85465377,0.9674693389,0.043,22.6,223.6108189,15.46428572,0.049395339,2.34202515,no appendage,0,none,0.457014295,0.04992202729,9.15456202,1,unassisted
Trifolium depauperatum,TRIDEP,unassisted,2.42513833,9.106914058,0.9863127333,0.0286,12.69,223.9420217,17.78,0.016127056,1.53328415,no appendage,1,none,0.4379084967,0.03704948646,11.81955645,1,unassisted
Trifolium fucatum,TRIFUC,unassisted,3.131013798,51.6451518,0.969751619,0.0384,51.1,225.6863751,24.7,0.033546111,2.6500114,no appendage,1,none,0.4166247878,0.02665195246,15.63205504,1,unassisted
Trifolium gracilentum,TRIGRA,unassisted,2.144167458,74.62709156,0.9813173908,0.0348,14.83,214.0204617,9.228333335,0.024672902,1.83683905,no appendage,0,none,0.3972506158,0.03132697044,12.68078624,1,unassisted
Trifolium hirtum,TRIHIR,ingestion,5.28466306,6.658038559,0.9513462938,0.0372,52.12,247.1874285,15.27475963,0.014113514,2.06949055,no appendage,1,none,0.4150701978,0.03222718571,12.87950495,4,large mammal (internal)
Trifolium microcephalum,TRIMIC,unassisted,1.879187847,37.24201888,1,0.0274,9.1815,271.3310247,10.925,0.029339154,1.58646175,no appendage,0,none,0.4550492341,0.0570404814,7.977654167,1,unassisted
Trifolium willdenovii,TRIWIL,unassisted,2.789358362,78.41448764,0.9877943957,0.026,20.01,274.7818349,24.65,0.029070834,1.9010952,no appendage,0,none,0.4123233795,0.04086307356,10.09036628,1,unassisted
Tropidocarpum gracile,TROGRA,unassisted,0.9705728873,392.3933621,0.9407813571,0.0138,2.3154,205.0047122,27.5,0.071826593,1.29398553,no appendage,0,none,0.4947381546,0.03330735661,14.85372017,1,unassisted
Uropappus lindleyi,UROLIN,unassisted,1.058634261,98.43417645,1,0.1096,18.475,179.8035886,18.89492754,0.191356343,10.15542207,elongated appendage,1,pappus,0.443190267,0.02171003717,20.41407223,2,unassisted
Vicia villosa,VICVIL,unassisted,7.831723958,14.51639221,0.9791767735,0.1116,350.77,335.1216273,56.35557693,0.007833353,4.0968822,no appendage,0,none,0.392607868,0.02820114213,13.92170098,1,ballistic
Volutaria tubuliflora,VOLTUB,wind,1.041615037,NA,NA,NA,11.283,150.2530392,150,0.087855888,3.116791389,elongated appendage,1,pappus,0.4958178931,0.03161461091,15.68318821,2,wind
Xanthisma gracile,XANGRA,wind,0.8379344413,71.3221781,1,0.0078,2.6038,116.8002531,21.65,0.115161203,2.098611679,elongated appendage,1,plume,0.5086474501,0.03321784922,15.31247393,2,wind
Zeltnera trichantha,ZELTRI,wind,0.3993399902,417.2624353,0.762802276,0.0072,0.2842,144.984515,6.825,0.015437114,0.57165798,no appendage,1,none,0.5420192308,0.04712121212,11.50265892,2,wind
