in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,microbe.rob,notes,
y,y,,,,,,Plantago erecta,,PLAERE,PLER3,Plantaginaceae,forb,native,1997,87.8,,,0.210570022,224,34.1344,-118.75348,264,,22429,CBG,CBG-22429,wild,,,,,
y,y,,,,,,Plantago erecta,,PLAERE,PLER3,Plantaginaceae,forb,native,2003,96,,,0.043227139,34,33.86263,-117.00988,585,,21070,CBG,CBG-21070,wild,,,,,
y,y,,,,,,Plantago erecta,,PLAERE,PLER3,Plantaginaceae,forb,native,2003,,,,0.14204666,95,32.89794,-118.48631,244,,21099,CBG,CBG-21099,wild,,,,,
y,y,chem,,1,seed,seed,Plantago erecta,,PLAERE,PLER3,Plantaginaceae,forb,native,2019,86,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-39,cultivated,,x,,,
y,y,morph,,1,seed,seed,Plantago erecta,,PLAERE,PLER3,Plantaginaceae,forb,native,2016,,,,6.09,,38.87078449,-122.4271909,664,location estimate,,MCL-ML,MCL-ML-40,wild,x,,x,serpentine,
y,y,,,,,,Plantago ovata,,PLAOVA,PLOV,Plantaginaceae,forb,native,1998,64,,,0.4253,494.5,33.65655,-115.80227,457,,19948,CBG,CBG-19948,wild,,,,,
y,y,both,,1,seed,seed,Plantago ovata,,PLAOVA,PLOV,Plantaginaceae,forb,native,2015,,,,0.33,,33.300718,-116.335128,191,,,DW,DW-18,wild,,,,,
y,y,both,,1,seed,seed,Plantago ovata var. insularis,Plantago insularis,PLAOVAI,PLOV,Plantaginaceae,forb,native,2015,,,,0.8096,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-19,wild,,,,,
y,y,,,,,,Plantago ovata var. insularis,Plantago insularis,PLAOVAI,PLOV,Plantaginaceae,forb,native,2017,95,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-40,cultivated,,,,,
y,y,,,,,,Plantago patagonica,,PLAPAT,PLPA2,Plantaginaceae,forb,native,2011,98,,,0.323,414.1,33.66545,-116.83133,760,,23435,CBG,CBG-23435,wild,,,,,
